Designator,Mid X,Mid Y,Layer,Rotation
C1, 7.94,101.60,Top,180.0
C2,35.24,101.60,Top,180.0
C3, 7.94,94.30,Top,180.0
C4,35.24,94.30,Top,180.0
C5,30.48,93.34,Top,270.0
C6, 8.89,87.00,Top,90.0
C7, 6.03,78.74,Top,180.0
C8,12.38,78.74,Top,0.0
C9,20.00,77.79,Top,270.0
C10,20.64,74.30,Top,0.0
C11,32.07,74.30,Top,180.0
C12, 6.03,67.95,Top,180.0
C13, 9.21,67.95,Top,0.0
C14,12.38,67.95,Top,0.0
C15,19.69,67.63,Top,90.0
C16,22.86,66.04,Top,0.0
C17,31.12,63.18,Top,0.0
C18,15.05,61.28,Top,180.0
C19,15.56,54.61,Top,180.0
C20,17.14,53.02,Top,180.0
C21,29.78,50.80,Top,0.0
C22,28.26,49.21,Top,0.0
C23,45.40,47.94,Top,180.0
C24,44.61,45.56,Top,0.0
C25,42.23,45.09,Top,270.0
C26,46.83,43.66,Top,270.0
C27,28.89,42.23,Top,270.0
C28,30.16,42.23,Top,270.0
C29,27.62,36.51,Top,0.0
C30,30.64,36.51,Top,270.0
C31,15.56,35.88,Top,270.0
C32,27.62,32.70,Top,0.0
C33, 5.40,32.38,Top,270.0
C34,23.18,32.38,Top,0.0
C35,12.70,31.43,Top,90.0
C36,39.21,31.12,Top,0.0
C37,33.50,31.11,Top,0.0
C38,22.23,30.16,Top,90.0
C39,27.62,29.05,Top,0.0
C40,11.75,28.58,Top,0.0
C41,46.83,28.58,Top,90.0
C42,39.37,28.26,Top,180.0
C43,34.93,27.62,Top,0.0
C44,20.32,12.70,Top,270.0
C45,28.58,12.70,Top,270.0
D1,14.61,99.38,Top,0.0
D2,14.61,96.84,Top,180.0
D3,14.92,49.21,Top,180.0
F1, 1.59,105.09,Top,0.0
F2,47.31,105.09,Top,0.0
F3, 1.59, 1.59,Top,0.0
F4,47.31, 1.59,Top,0.0
IC1,43.18,100.01,Top,180.0
IC2,11.75,87.00,Top,270.0
IC3, 9.21,73.34,Top,0.0
IC4,24.13,58.10,Top,270.0
IC5,36.51,37.78,Top,270.0
IC6,17.46,30.48,Top,270.0
L1,14.61,101.28,Top,180.0
L2,20.00,95.25,Top,180.0
L3,14.61,94.93,Top,0.0
Q1,26.35,70.80,Top,0.0
Q2,44.77,36.19,Top,270.0
R1,14.61,104.14,Top,180.0
R2,40.64,92.08,Top,180.0
R3,22.54,91.44,Top,90.0
R4,24.45,91.44,Top,90.0
R5,26.35,91.44,Top,90.0
R6, 7.30,87.00,Top,270.0
R8, 6.03,81.92,Top,180.0
R9,12.38,81.92,Top,0.0
R10, 8.26,80.96,Top,270.0
R11,10.16,80.96,Top,270.0
R12, 6.03,80.33,Top,0.0
R13,12.38,80.33,Top,180.0
R14,40.64,77.47,Top,0.0
R15, 6.03,66.36,Top,0.0
R16,12.38,66.36,Top,180.0
R17, 6.03,64.77,Top,180.0
R18,12.38,64.77,Top,0.0
R19, 8.26,64.45,Top,90.0
R20,10.16,64.45,Top,90.0
R21,14.92,58.74,Top,180.0
R22,14.92,57.15,Top,180.0
R24,33.02,44.77,Top,90.0
R25,27.30,44.13,Top,270.0
R28, 7.94,31.43,Top,90.0
R29, 9.53,31.43,Top,90.0
R30,11.11,31.43,Top,270.0
R31,23.81,30.16,Top,270.0
R32, 4.45,27.30,Top,270.0
R33,22.23,26.99,Top,270.0
R34,23.81,26.99,Top,270.0
R35, 9.21,26.67,Top,0.0
R36,21.91,12.70,Top,90.0
R37,23.50,12.70,Top,270.0
R38,25.08,12.70,Top,270.0
R39,26.99,12.70,Top,90.0
R40, 9.53,12.07,Top,0.0
R41,15.56,12.07,Top,180.0
R42,33.66,12.07,Top,0.0
R43,39.37,12.07,Top,180.0
SW1,42.23,87.95,Top,180.0
SW2,42.23,81.60,Top,0.0
TP1,33.66,64.45,Top,0.0
TP2,35.56,59.05,Top,0.0
TP3,39.37,59.05,Top,0.0
TP4,32.38,56.20,Top,0.0
